Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2024-05-13,184.68020629882812,407.4659423828125,167.75352478027344,186.57000732421875,171.88999938964844
2024-05-14,185.82032775878906,410.2630310058594,168.9436798095703,187.07000732421875,177.5500030517578
2024-05-15,188.09066772460938,417.4360046386719,171.09588623046875,185.99000549316406,173.99000549316406
2024-05-16,188.20965576171875,415.3738708496094,172.75221252441406,183.6300048828125,174.83999633789062
2024-05-17,188.23936462402344,414.6042785644531,174.61680603027344,184.6999969482422,177.4600067138672
2024-05-20,189.39932250976562,419.6658630371094,175.46971130371094,183.5399932861328,174.9499969482422
2024-05-21,190.69808959960938,423.3164978027344,176.3921356201172,183.14999389648438,186.60000610351562
2024-05-22,189.26052856445312,424.77679443359375,174.93417358398438,183.1300048828125,180.11000061035156
2024-05-23,185.27505493164062,421.3037109375,172.1273956298828,181.0500030517578,173.74000549316406
2024-05-24,188.34841918945312,424.42156982421875,173.55557250976562,180.75,179.24000549316406
2024-05-28,188.3583984375,424.5794982910156,174.95401000976562,182.14999389648438,176.75
2024-05-29,188.65576171875,423.4447937011719,174.45809936523438,182.02000427246094,176.19000244140625
2024-05-30,189.64718627929688,409.13824462890625,170.69918823242188,179.32000732421875,178.7899932861328
2024-05-31,190.5989532470703,409.59210205078125,171.08596801757812,176.44000244140625,178.0800018310547
2024-06-03,192.3636474609375,408.0035400390625,171.75047302246094,178.33999633789062,176.2899932861328
2024-06-04,192.68092346191406,410.5195007324219,172.36541748046875,179.33999633789062,174.77000427246094
2024-06-05,194.1878662109375,418.3536071777344,173.9720916748047,181.27999877929688,175.0
2024-06-06,192.8097686767578,418.8568115234375,175.28131103515625,185.0,177.94000244140625
2024-06-07,195.1990966796875,418.19573974609375,173.02993774414062,184.3000030517578,177.47999572753906
2024-06-10,191.4614715576172,422.162109375,173.7746124267578,187.05999755859375,173.7899932861328
2024-06-11,205.3709716796875,426.9079284667969,175.37326049804688,187.22999572753906,170.66000366210938
2024-06-12,211.24014282226562,435.1761779785156,176.53497314453125,186.88999938964844,177.2899932861328
2024-06-13,212.40011596679688,435.689208984375,173.92355346679688,183.8300018310547,182.47000122070312
2024-06-14,210.66513061523438,436.666015625,175.54205322265625,183.66000366210938,178.00999450683594
2024-06-17,214.80921936035156,442.3885803222656,175.9888916015625,184.05999755859375,187.44000244140625
2024-06-18,212.44964599609375,440.3857116699219,173.85401916503906,182.80999755859375,184.86000061035156
2024-06-20,207.87924194335938,439.7543029785156,175.05551147460938,186.10000610351562,181.57000732421875
2024-06-21,205.7080841064453,443.7798156738281,178.3620147705078,189.0800018310547,183.00999450683594
2024-06-24,206.35247802734375,441.6980285644531,177.9548797607422,185.57000732421875,182.5800018310547
2024-06-25,207.2744903564453,444.9342346191406,182.73094177246094,186.33999633789062,187.35000610351562
2024-06-26,211.41859436035156,446.1280822753906,182.58201599121094,193.61000061035156,196.3699951171875
2024-06-27,212.2613067626953,446.8088684082031,184.1011962890625,197.85000610351562,197.4199981689453
2024-06-28,208.81117248535156,440.9875793457031,180.8642120361328,193.25,197.8800048828125
2024-07-01,214.88853454589844,450.6371154785156,181.69827270507812,197.1999969482422,209.86000061035156
2024-07-02,218.37831115722656,453.1531066894531,183.93240356445312,200.0,231.25999450683594
2024-07-03,219.64732360839844,454.62322998046875,184.50831604003906,197.58999633789062,246.38999938964844
2024-07-05,224.39617919921875,461.3226318359375,189.2545623779297,200.0,251.52000427246094
